Unique System Identifier,Call Sign,Overall Height of Structure,Latitude,Longitude
11662,KNKN589,50.6,41.63191666666667,-73.36744444444444
11662,KNKN589,59.7,41.921638888888886,-73.04938888888888
11662,KNKN589,58.8,41.668388888888884,-73.01988888888889
11662,KNKN589,50.9,41.63002777777778,-73.05652777777777
11662,KNKN589,60.4,41.86205555555556,-73.39961111111111
11662,KNKN589,43.3,41.522,-73.22075
11662,KNKN589,57.9,41.55961111111111,-73.29222222222222
11662,KNKN589,51.8,41.94608333333333,-72.91147222222223
11663,KNKN228,24.4,35.92605555555555,-117.9131388888889
11663,KNKN228,50.3,36.19333333333333,-118.00833333333334
11663,KNKN228,38.1,37.35908333333334,-118.39705555555557
11663,KNKN228,32.0,37.648555555555554,-118.97041666666667
11663,KNKN228,28.9,37.05722222222222,-118.24305555555556
11663,KNKN228,22.2,37.544666666666664,-118.63202777777776
11663,KNKN228,21.3,37.7655,-118.98186111111112
11663,KNKN228,105.2,42.20722222222223,-94.13583333333334
12674,KNKN329,50.3,42.01583333333333,-93.57747222222221
12674,KNKN329,80.8,42.025527777777775,-93.43502777777778
12674,KNKN329,105.1,42.27372222222222,-93.77566666666667
12674,KNKN329,59.4,41.895694444444445,-93.81641666666667
12674,KNKN329,106.6,42.21,-93.56933333333333
12674,KNKN329,60.6,42.03069444444444,-93.87444444444444
12674,KNKN329,29.9,42.00205555555556,-93.64530555555557
12674,KNKN329,103.6,42.85088888888889,-93.62763888888888
12674,KNKN329,106.7,42.34225,-93.57188888888888
12675,KNKN456,98.8,29.646361111111112,-99.06291666666667
12675,KNKN456,102.1,29.734583333333333,-99.36952777777778
12675,KNKN456,146.9,29.692555555555554,-101.18375
12675,KNKN456,60.0,29.41397222222222,-100.90969444444445
12675,KNKN456,57.9,29.345805555555554,-98.89822222222223
12675,KNKN456,105.5,30.01527777777778,-100.20222222222222
12675,KNKN456,80.2,29.693055555555556,-99.81583333333333
12675,KNKN456,60.7,28.202305555555554,-98.9238888888889
12675,KNKN456,60.4,28.503138888888888,-98.85725
12675,KNKN456,79.2,29.831055555555555,-101.6353888888889
12675,KNKN456,125.9,28.994083333333336,-100.571
12675,KNKN456,48.5,29.131444444444444,-98.89780555555556
12675,KNKN456,104.6,30.1225,-101.09655555555555
12675,KNKN456,101.2,28.34525,-100.24375
12675,KNKN456,58.8,29.464555555555556,-101.00727777777777
12675,KNKN456,99.4,30.128027777777778,-100.60177777777777
12675,KNKN456,58.5,30.22233333333333,-100.01266666666666
12675,KNKN456,101.8,30.07777777777778,-101.58708333333333
12675,KNKN456,94.2,28.794083333333337,-98.92844444444445
12675,KNKN456,79.6,29.533944444444447,-98.85283333333332
12675,KNKN456,78.9,29.8175,-99.23052777777778
12675,KNKN456,115.8,28.033972222222225,-99.36469444444444
12675,KNKN456,148.1,30.34311111111111,-99.58841666666666
12675,KNKN456,104.6,28.690472222222223,-100.49027777777778
12675,KNKN456,97.2,28.109333333333336,-99.58313888888888
12675,KNKN456,80.8,29.774166666666666,-101.16900000000001
12675,KNKN456,120.7,28.177861111111113,-99.09299999999999
12675,KNKN456,72.5,29.34486111111111,-100.86644444444444
12675,KNKN456,60.7,29.103416666666668,-100.64483333333334
12675,KNKN456,148.7,29.606250000000003,-99.68002777777778
12675,KNKN456,123.8,28.226805555555554,-99.92736111111111
12676,KNKN464,157.3,32.71094444444445,-99.42172222222223
12676,KNKN464,143.3,32.62305555555555,-98.71638888888889
12676,KNKN464,132.6,33.595111111111116,-99.23230555555556
12676,KNKN464,137.5,32.78169444444444,-98.94044444444445
12676,KNKN464,126.8,34.13472222222222,-99.25861111111111
12676,KNKN464,124.9,34.21138888888889,-99.68833333333333
12676,KNKN464,126.8,33.57472222222223,-98.71583333333334
12676,KNKN464,128.0,33.100833333333334,-98.6463888888889
12676,KNKN464,95.7,33.15694444444444,-99.17444444444445
12676,KNKN464,123.1,33.16436111111111,-99.74558333333333
12676,KNKN464,93.0,33.346944444444446,-98.74777777777778
12676,KNKN464,125.9,33.44119444444444,-99.63397222222223
12676,KNKN464,76.2,33.995555555555555,-99.83722222222222
12676,KNKN464,83.8,33.417138888888886,-99.79747222222223
12676,KNKN464,94.5,33.77883333333333,-98.79566666666666
12676,KNKN464,79.9,34.07205555555556,-99.00958333333334
12676,KNKN464,79.2,33.145472222222224,-98.47733333333333
12676,KNKN464,110.3,34.35516666666667,-99.95666666666666
12676,KNKN464,59.7,34.287527777777775,-99.72652777777778
12676,KNKN464,94.5,33.70741666666667,-98.60094444444444
12677,KNKQ346,91.1,38.028888888888886,-85.30444444444444
12677,KNKQ346,91.1,37.60583333333334,-86.05694444444444
12677,KNKQ346,112.8,37.54333333333333,-85.25944444444444
12677,KNKQ346,77.7,37.760194444444444,-85.99136111111112
12677,KNKQ346,99.1,37.94291666666666,-84.96161111111111
12677,KNKQ346,78.6,37.55488888888888,-86.07972222222222
12677,KNKQ346,60.7,37.16569444444444,-85.54652777777778
12677,KNKQ346,64.3,37.755833333333335,-84.82388888888889
12677,KNKQ346,80.8,37.650888888888886,-85.07788888888888
12677,KNKQ346,57.0,37.900277777777774,-85.92580555555556
12677,KNKQ346,63.1,37.32333333333334,-85.32472222222222
12677,KNKQ346,45.7,37.99597222222222,-85.9503611111111
12677,KNKQ346,60.7,37.42225,-85.28319444444445
12677,KNKQ346,99.1,37.478611111111114,-85.89883333333334
12677,KNKQ346,78.3,37.89138888888889,-85.53222222222222
12677,KNKQ346,93.9,37.7385,-84.83969444444443
12677,KNKQ346,103.6,37.532777777777774,-85.31638888888888
12677,KNKQ346,91.4,37.986222222222224,-84.88030555555555
12677,KNKQ346,93.3,37.76833333333333,-84.86194444444443
12678,KNKQ312,89.9,41.90069444444444,-80.58399999999999
12678,KNKQ312,80.8,41.76413888888889,-80.9576388888889
12678,KNKQ312,77.4,41.88730555555556,-80.77213888888889
12678,KNKQ312,71.6,41.874722222222225,-80.79602777777778
12678,KNKQ312,93.0,41.606500000000004,-80.5595
12678,KNKQ312,57.3,41.536055555555556,-80.84627777777777
12678,KNKQ312,79.2,41.571000000000005,-80.70866666666667
12678,KNKQ312,47.2,41.94969444444444,-80.56213888888888
12678,KNKQ312,59.7,41.535888888888884,-80.94769444444445
12678,KNKQ312,58.5,41.62236111111111,-80.95405555555556
12678,KNKQ312,54.2,41.85552777777778,-80.97302777777777
12678,KNKQ312,90.8,41.94016666666666,-80.52836111111111
12678,KNKQ312,91.7,41.60158333333334,-80.66936111111112
12678,KNKQ312,60.7,41.53319444444444,-80.76333333333334
12678,KNKQ312,80.5,41.83986111111111,-80.95580555555556
12678,KNKQ312,60.6,41.91475,-80.67780555555557
12680,KNKN902,54.8,27.47169444444444,-81.51147222222222
12680,KNKN902,59.4,27.2075,-81.33444444444444
12680,KNKN902,64.6,26.941111111111113,-81.31027777777777
12680,KNKN902,64.0,27.615916666666667,-81.50538888888889
12680,KNKN902,100.6,27.319583333333334,-81.36738888888888
12680,KNKN902,57.3,26.774916666666666,-81.43652777777778
12680,KNKN902,60.6,27.499750000000002,-81.4406388888889
12680,KNKN902,60.6,27.21,-81.55833333333334
12680,KNKN902,94.5,26.86877777777778,-81.21716666666667
12680,KNKN902,86.0,26.977999999999998,-81.12413888888888
12680,KNKN902,96.0,27.20775,-81.1701388888889
12680,KNKN902,94.8,27.06775,-81.34597222222222
12680,KNKN902,97.5,27.401722222222222,-81.41361111111112
12680,KNKN902,88.7,27.44988888888889,-81.26255555555555
12681,KNKN886,80.2,32.58211111111112,-95.90594444444444
12681,KNKN886,59.7,32.01902777777778,-96.31088888888888
12681,KNKN886,57.0,32.72061111111111,-95.99513888888889
12681,KNKN886,95.7,32.32527777777778,-96.11916666666666
12681,KNKN886,78.9,32.436277777777775,-95.94794444444445
12681,KNKN886,79.2,32.34297222222222,-96.33002777777777
12681,KNKN886,58.8,32.12894444444444,-96.25002777777777
12681,KNKN886,58.8,32.08983333333334,-96.76208333333334
12681,KNKN886,127.4,31.908194444444444,-96.73169444444444
12681,KNKN886,60.7,31.876527777777778,-96.34613888888889
12681,KNKN886,76.2,32.23625,-96.0611111111111
12681,KNKN886,78.6,32.13138888888889,-96.46622222222223
12681,KNKN886,127.4,32.62536111111111,-96.00602777777777
12682,KNKN879,128.0,39.930861111111106,-91.33208333333333
12682,KNKN879,105.2,39.69888888888889,-91.01583333333333
12682,KNKN879,59.4,39.72416666666667,-90.00805555555556
12682,KNKN879,61.0,40.10225,-91.28069444444445
12682,KNKN879,96.0,39.83477777777778,-90.57983333333333
12682,KNKN879,74.6,39.590833333333336,-90.84416666666667
12683,KNKN339,45.1,42.43069444444444,-114.48013888888889
12683,KNKN339,60.9,43.245666666666665,-114.67952777777778
12683,KNKN339,7.6,43.666999999999994,-114.27716666666666
12683,KNKN339,36.6,43.3705,-113.78
12683,KNKN339,41.1,42.85305555555556,-114.91222222222223
12683,KNKN339,26.8,42.76208333333334,-113.89713888888889
12683,KNKN339,97.5,43.58016666666667,-113.27777777777777
12683,KNKN339,96.0,43.8915,-112.59047222222222
12683,KNKN339,18.2,42.36088888888889,-113.45591666666667
12683,KNKN339,99.1,42.21472222222223,-114.71255555555555
12683,KNKN339,18.3,43.281277777777774,-114.156
12683,KNKN339,94.4,42.55869444444444,-114.09808333333334
12683,KNKN339,97.5,42.48861111111111,-113.91277777777778
12683,KNKN339,31.7,42.532444444444444,-114.8505
12683,KNKN339,93.3,42.553805555555556,-113.45916666666668
12683,KNKN339,21.3,42.885,-114.41888888888889
12684,KNKN412,33.2,34.07511111111111,-106.96894444444445
12684,KNKN412,60.7,34.60033333333333,-106.73169444444444
12684,KNKN412,32.3,33.82613888888889,-106.24947222222222
12684,KNKN412,25.3,34.04197222222222,-108.30366666666666
12684,KNKN412,64.0,33.55016666666666,-107.20325
12684,KNKN412,39.9,34.7765,-106.66730555555556
12684,KNKN412,15.1,33.42958333333333,-105.98894444444444
12684,KNKN412,75.9,34.79722222222222,-106.82
12684,KNKN412,60.7,33.32586111111112,-107.31224999999999
12684,KNKN412,59.7,33.46538888888889,-107.24522222222222
12684,KNKN412,48.8,34.14238888888889,-107.21825
12684,KNKN412,60.4,34.42133333333333,-106.70886111111112
12684,KNKN412,110.9,34.957,-107.18272222222222
12684,KNKN412,58.2,34.39552777777778,-107.01197222222223
12684,KNKN412,42.1,34.30733333333333,-108.59463888888888
12684,KNKN412,105.2,33.843444444444444,-106.72788888888888
12684,KNKN412,50.9,32.97063888888889,-107.22469444444445
12684,KNKN412,102.1,34.03802777777778,-107.44636111111112
12685,KNKN944,80.8,43.586083333333335,-87.80980555555556
12693,KNKA803,59.4,43.878055555555555,-87.77194444444444
12693,KNKA803,32.3,43.73533333333334,-87.74597222222222
12693,KNKA803,58.0,43.82655555555556,-87.8638611111111
12693,KNKA803,61.0,43.63622222222222,-87.9353888888889
12693,KNKA803,76.5,43.845083333333335,-87.93991666666668
12693,KNKA803,45.7,43.74516666666667,-87.97991666666667
12693,KNKA803,46.3,43.56505555555555,-87.92713888888889
12693,KNKA803,24.4,43.839083333333335,-88.01625
12694,KNKA423,121.6,44.068333333333335,-88.71944444444445
12694,KNKA423,80.8,44.345,-88.60666666666665
12694,KNKA423,97.5,44.26111111111111,-88.19722222222222
